episode,total_steps,total_reward,average_reward,minerals_collected,exploration_rate,epsilon,memory_size,loss_avg,timestamp
0,0,0,0,0,0.0,1.0,50,0,2026-02-05T22:16:20.683298
0,0,0,0,0,1.9820956648050503,0.9801790433519495,50,0,2026-02-05T22:36:00.453475
0,0,0,0,0,1.9820956648050503,0.9801790433519495,50,0,2026-02-05T23:11:53.292187
1,0,0,0,0,2.373775210528495,0.976262247894715,54,0,2026-02-05T23:12:12.937421
2,0,0,0,0,7.139711708122565,0.9286028829187744,104,0,2026-02-05T23:16:48.312093
3,0,0,0,0,11.672983767978929,0.8832701623202107,154,0,2026-02-05T23:21:13.463530
4,0,0,0,0,15.984949648986468,0.8401505035101353,204,0,2026-02-05T23:25:48.943977
5,0,0,0,0,20.086413120288114,0.7991358687971188,254,0,2026-02-05T23:29:10.272538
6,0,0,0,0,23.987650530471647,0.7601234946952835,304,0,2026-02-05T23:35:27.446878
7,0,0,0,0,27.698436555291593,0.723015634447084,354,0,2026-02-05T23:41:33.045100
8,0,0,0,0,27.843039682181015,0.7215696031781899,356,0,2026-02-05T23:41:44.968790
9,0,0,0,0,31.090249186807085,0.6890975081319292,403,0,2026-02-05T23:45:14.583334
10,0,0,0,0,31.63987556330259,0.6836012443669741,411,0,2026-02-05T23:45:49.000691
11,0,0,0,0,34.97709374146639,0.6502290625853361,461,0,2026-02-05T23:49:56.173001
12,0,0,0,0,38.15139493753807,0.6184860506246193,511,0,2026-02-05T23:55:33.660958
13,0,0,0,0,41.17073246521702,0.5882926753478298,561,0,2026-02-06T00:01:26.023457
14,0,0,0,0,44.042671371749286,0.5595732862825071,611,0,2026-02-06T00:07:12.647549
15,0,0,0,0,44.15458602900579,0.5584541397099421,614,0,2026-02-06T00:07:19.439823
16,0,0,0,0,46.88085857761218,0.5311914142238782,664,0,2026-02-06T00:13:39.146933
17,0,0,0,0,46.98709686045696,0.5301290313954304,666,0,2026-02-06T00:13:43.731757
18,0,0,0,0,49.575091330805634,0.5042490866919437,716,0,2026-02-06T00:18:51.018977
19,0,0,0,0,49.67594114814402,0.5032405885185598,718,0,2026-02-06T00:19:01.039551
20,0,0,0,0,49.77658926584774,0.5022341073415226,720,0,2026-02-06T00:19:14.517257
